"Purchase"	"WeekofPurchase"	"StoreID"	"PriceCH"	"PriceMM"	"DiscCH"	"DiscMM"	"SpecialCH"	"SpecialMM"	"LoyalCH"	"SalePriceMM"	"SalePriceCH"	"PriceDiff"	"Store7"	"PctDiscMM"	"PctDiscCH"	"ListPriceDiff"	"STORE"	"logpurch"
"CH"	270	1	0	2.18	0	0	0	0	0.930094	2.18	1.86	0.32	"No"	0	0	0.32	1	5.59842195899838
"CH"	271	2	0	2.18	0	0.06	0	0	0.944076	2.12	1.86	0.26	"No"	0.027523	0	0.32	2	5.6021188208797
"CH"	272	2	0	2.18	0	0.06	0	0	0.95526	2.12	1.86	0.26	"No"	0.027523	0	0.32	2	5.605802066296
"CH"	273	7	0	2.13	0	0.54	0	0	0.964208	1.59	1.86	-0.27	"Yes"	0.253521	0	0.27	0	5.60947179518496
"CH"	273	1	0	2.18	0	0	0	0	0.971367	2.18	1.86	0.32	"No"	0	0	0.32	1	5.60947179518496
"CH"	274	2	1	2.18	0	0.8	0	1	0.977093	1.38	1.96	-0.58	"No"	0.366972	0	0.22	2	5.61312810638807
"CH"	275	2	1	2.18	0	0.8	0	1	0.981675	1.38	1.96	-0.58	"No"	0.366972	0	0.22	2	5.61677109766657
"CH"	276	7	1	2.13	0	0.54	0	1	0.98534	1.59	1.99	-0.4	"Yes"	0.253521	0	0.14	0	5.62040086571715
"CH"	278	2	1	2.18	0	0	0	0	0.988272	2.18	1.99	0.19	"No"	0	0	0.19	2	5.62762111369064
"CH"	242	3	1	2.23	0	0	0	0	0.6	2.23	1.99	0.24	"No"	0	0	0.24	3	5.48893772615669
"CH"	237	1	0	1.99	0	0	0	0	0.52	1.99	1.75	0.24	"No"	0	0	0.24	1	5.46806014113513
"CH"	251	4	1	2.23	0	0	0	0	0.5	2.23	1.99	0.24	"No"	0	0	0.24	4	5.52545293913178
"MM"	255	4	1	2.29	0	0	0	0	0.6	2.29	1.99	0.3	"No"	0	0	0.3	4	5.54126354515843
"MM"	261	7	0	2.13	0	0.24	0	0	0.48	1.89	1.86	0.03	"Yes"	0.112676	0	0.27	0	5.56452040732269
"CH"	277	4	1	2.09	0.2	0.4	0	0	0.384	1.69	1.89	-0.2	"No"	0.191388	0.095694	0	4	5.62401750618734
"MM"	233	7	0	1.99	0	0.4	1	0	0.5	1.59	1.75	-0.16	"Yes"	0.201005	0	0.24	0	5.4510384535657
"MM"	236	7	0	1.99	0	0.4	0	0	0.4	1.59	1.75	-0.16	"Yes"	0.201005	0	0.24	0	5.46383180502561
"MM"	243	7	0	2.09	0	0.2	0	0	0.32	1.89	1.86	0.03	"Yes"	0.095694	0	0.23	0	5.49306144334055
"MM"	244	7	0	2.09	0	0.2	0	0	0.256	1.89	1.86	0.03	"Yes"	0.095694	0	0.23	0	5.4971682252932
"MM"	245	7	0	2.09	0	0.2	0	0	0.2048	1.89	1.86	0.03	"Yes"	0.095694	0	0.23	0	5.50125821054473
"MM"	252	7	0	2.09	0.1	0	0	0	0.16384	2.09	1.76	0.33	"Yes"	0	0.053763	0.23	0	5.52942908751142
"MM"	277	7	1	2.13	0.5	0	0	1	0.131072	2.13	1.49	0.64	"Yes"	0	0.251256	0.14	0	5.62401750618734
"CH"	228	4	0	1.79	0	0	0	0	0.83616	1.79	1.79	0	"No"	0	0	0	4	5.42934562895444
"CH"	230	3	0	1.79	0	0	0	0	0.868928	1.79	1.79	0	"No"	0	0	0	3	5.4380793089232
"CH"	231	3	0	1.79	0	0	0	0	0.895142	1.79	1.79	0	"No"	0	0	0	3	5.44241771052179
"CH"	233	1	0	1.99	0	0	0	0	0.916114	1.99	1.69	0.3	"No"	0	0	0.3	1	5.4510384535657
"CH"	263	4	1	2.09	0	0	0	0	0.932891	2.09	1.99	0.1	"No"	0	0	0.1	4	5.57215403217776
"CH"	264	4	1	2.09	0.1	0	0	0	0.946313	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.57594910314632
"CH"	265	4	1	2.09	0.1	0	0	0	0.95705	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.57972982598622
"CH"	266	4	1	2.09	0.1	0	0	0	0.96564	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.5834963087817
"CH"	267	4	1	2.09	0.1	0	0	0	0.972512	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.58724865840025
"CH"	269	4	1	2.09	0.1	0	0	0	0.97801	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.59471137960184
"CH"	270	1	0	2.18	0	0	0	0	0.982408	2.18	1.86	0.32	"No"	0	0	0.32	1	5.59842195899838
"CH"	271	4	1	2.09	0.1	0.4	1	0	0.985926	1.69	1.89	-0.2	"No"	0.191388	0.050251	0.1	4	5.6021188208797
"CH"	272	4	1	2.09	0	0.4	0	0	0.988741	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.605802066296
"CH"	274	4	1	2.09	0	0.4	0	0	0.990993	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.61312810638807
"CH"	276	4	1	2.09	0.2	0.4	0	0	0.992794	1.69	1.89	-0.2	"No"	0.191388	0.095694	0	4	5.62040086571715
"CH"	277	4	1	2.09	0.2	0.4	0	0	0.994235	1.69	1.89	-0.2	"No"	0.191388	0.095694	0	4	5.62401750618734
"CH"	278	3	1	2.09	0.2	0	0	0	0.995388	2.09	1.89	0.2	"No"	0	0.095694	0	3	5.62762111369064
"CH"	269	2	0	2.18	0	0	0	0	0.6	2.18	1.86	0.32	"No"	0	0	0.32	2	5.59471137960184
"CH"	229	7	0	1.69	0	0.2	0	1	0.95705	1.49	1.69	-0.2	"Yes"	0.118343	0	0	0	5.43372200355424
"CH"	230	7	0	1.99	0	0	0	1	0.96564	1.99	1.69	0.3	"Yes"	0	0	0.3	0	5.4380793089232
"CH"	231	4	0	1.79	0	0	0	0	0.972512	1.79	1.79	0	"No"	0	0	0	4	5.44241771052179
"CH"	233	4	0	2.09	0	0	0	0	0.97801	2.09	1.79	0.3	"No"	0	0	0.3	4	5.4510384535657
"CH"	239	7	0	2.09	0	0	0	0	0.982408	2.09	1.79	0.3	"Yes"	0	0	0.3	0	5.47646355193151
"CH"	240	4	0	2.23	0	0	0	0	0.985926	2.23	1.79	0.44	"No"	0	0	0.44	4	5.48063892334199
"CH"	242	7	0	2.09	0	0	0	0	0.988741	2.09	1.86	0.23	"Yes"	0	0	0.23	0	5.48893772615669
"CH"	243	4	1	2.23	0	0	0	0	0.990993	2.23	1.99	0.24	"No"	0	0	0.24	4	5.49306144334055
"CH"	244	7	0	2.09	0	0.2	0	0	0.992794	1.89	1.86	0.03	"Yes"	0.095694	0	0.23	0	5.4971682252932
"CH"	246	4	1	2.23	0	0	0	0	0.994235	2.23	1.99	0.24	"No"	0	0	0.24	4	5.50533153593236
"CH"	249	4	1	2.23	0	0	0	0	0.995388	2.23	1.99	0.24	"No"	0	0	0.24	4	5.51745289646471
"CH"	250	7	0	2.09	0	0	0	0	0.996311	2.09	1.86	0.23	"Yes"	0	0	0.23	0	5.52146091786225
"CH"	251	4	1	2.23	0	0	0	0	0.997049	2.23	1.99	0.24	"No"	0	0	0.24	4	5.52545293913178
"CH"	254	4	1	2.29	0	0	1	0	0.997639	2.29	1.99	0.3	"No"	0	0	0.3	4	5.53733426701854
"CH"	255	4	1	2.29	0	0	0	0	0.998111	2.29	1.99	0.3	"No"	0	0	0.3	4	5.54126354515843
"CH"	257	4	1	2.29	0	0.4	0	1	0.998489	1.89	1.99	-0.1	"No"	0.174672	0	0.3	4	5.54907608489522
"CH"	260	4	1	2.09	0	0	0	0	0.998791	2.09	1.99	0.1	"No"	0	0	0.1	4	5.56068163101553
"CH"	261	4	1	2.09	0	0	0	0	0.999033	2.09	1.99	0.1	"No"	0	0	0.1	4	5.56452040732269
"CH"	262	4	1	2.09	0	0	0	0	0.999226	2.09	1.99	0.1	"No"	0	0	0.1	4	5.5683445037611
"CH"	264	4	1	2.09	0.1	0	0	0	0.999381	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.57594910314632
"CH"	265	4	1	2.09	0.1	0	0	0	0.999505	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.57972982598622
"CH"	266	7	0	2.13	0.37	0	1	0	0.999604	2.13	1.49	0.64	"Yes"	0	0.198925	0.27	0	5.5834963087817
"CH"	267	7	0	2.13	0	0	1	0	0.999683	2.13	1.86	0.27	"Yes"	0	0	0.27	0	5.58724865840025
"CH"	269	7	0	2.13	0.27	0	1	0	0.999746	2.13	1.59	0.54	"Yes"	0	0.145161	0.27	0	5.59471137960184
"CH"	271	4	1	2.09	0.1	0.4	1	0	0.999797	1.69	1.89	-0.2	"No"	0.191388	0.050251	0.1	4	5.6021188208797
"CH"	272	4	1	2.09	0	0.4	0	0	0.999838	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.605802066296
"CH"	274	4	1	2.09	0	0.4	0	0	0.99987	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.61312810638807
"CH"	275	7	1	2.13	0	0.54	1	0	0.999896	1.59	1.99	-0.4	"Yes"	0.253521	0	0.14	0	5.61677109766657
"CH"	276	4	1	2.09	0.2	0.4	0	0	0.999917	1.69	1.89	-0.2	"No"	0.191388	0.095694	0	4	5.62040086571715
"CH"	277	7	1	2.13	0.5	0	0	1	0.999934	2.13	1.49	0.64	"Yes"	0	0.251256	0.14	0	5.62401750618734
"CH"	278	4	1	2.09	0.2	0	0	0	0.999947	2.09	1.89	0.2	"No"	0	0.095694	0	4	5.62762111369064
"MM"	229	7	0	1.69	0	0.2	0	1	0.68	1.49	1.69	-0.2	"Yes"	0.118343	0	0	0	5.43372200355424
"CH"	230	7	0	1.99	0	0	0	1	0.544	1.99	1.69	0.3	"Yes"	0	0	0.3	0	5.4380793089232
"CH"	231	7	0	1.99	0	0	0	0	0.6352	1.99	1.69	0.3	"Yes"	0	0	0.3	0	5.44241771052179
"CH"	233	7	0	1.99	0	0.4	1	0	0.70816	1.59	1.75	-0.16	"Yes"	0.201005	0	0.24	0	5.4510384535657
"CH"	237	7	0	1.99	0	0.4	0	0	0.766528	1.59	1.75	-0.16	"Yes"	0.201005	0	0.24	0	5.46806014113513
"CH"	241	7	0	2.09	0	0	0	0	0.813222	2.09	1.86	0.23	"Yes"	0	0	0.23	0	5.48479693349065
"CH"	242	7	0	2.09	0	0	0	0	0.850578	2.09	1.86	0.23	"Yes"	0	0	0.23	0	5.48893772615669
"CH"	253	7	0	2.09	0.1	0	0	0	0.880462	2.09	1.76	0.33	"Yes"	0	0.053763	0.23	0	5.53338948872752
"CH"	256	7	0	2.18	0	0	0	0	0.90437	2.18	1.86	0.32	"Yes"	0	0	0.32	0	5.54517744447956
"CH"	258	7	0	2.18	0	0	0	0	0.923496	2.18	1.86	0.32	"Yes"	0	0	0.32	0	5.55295958492162
